onset	duration	event_type	stim_id
20	1.5	1	ladybug
26	1.5	1	lemur
38	1.5	1	monkey
44	1.5	1	mallard
50	1.5	1	warbler
56	1.5	1	luna
62	1.5	0	nos
68	1.5	1	luna
74	1.5	1	lemur
80	1.5	1	ladybug
92	1.5	1	mallard
98	1.5	1	monkey
104	1.5	1	warbler
110	1.5	0	nos
116	1.5	1	warbler
122	1.5	1	mallard
128	1.5	1	ladybug
134	1.5	1	luna
146	1.5	1	monkey
152	1.5	1	lemur
158	1.5	0	yes
164	1.5	1	lemur
170	1.5	1	mallard
176	1.5	1	luna
188	1.5	1	warbler
194	1.5	1	ladybug
200	1.5	1	monkey
206	1.5	0	yes
212	1.5	1	monkey
224	1.5	1	ladybug
230	1.5	1	warbler
236	1.5	1	lemur
242	1.5	1	luna
248	1.5	1	mallard
254	1.5	0	yes
260	1.5	1	mallard
266	1.5	1	lemur
278	1.5	1	warbler
284	1.5	1	monkey
290	1.5	1	luna
296	1.5	1	ladybug
302	1.5	0	nos
