onset	duration	event_type	stim_id
20	1.5	1	monkey
32	1.5	1	luna
38	1.5	1	mallard
44	1.5	1	warbler
50	1.5	1	ladybug
56	1.5	1	lemur
62	1.5	0	yes
68	1.5	1	lemur
74	1.5	1	luna
86	1.5	1	monkey
92	1.5	1	warbler
98	1.5	1	mallard
104	1.5	1	ladybug
110	1.5	0	nos
116	1.5	1	ladybug
122	1.5	1	warbler
128	1.5	1	monkey
140	1.5	1	lemur
146	1.5	1	mallard
152	1.5	1	luna
158	1.5	0	yes
164	1.5	1	luna
170	1.5	1	warbler
182	1.5	1	lemur
188	1.5	1	ladybug
194	1.5	1	monkey
200	1.5	1	mallard
206	1.5	0	nos
212	1.5	1	mallard
218	1.5	1	monkey
224	1.5	1	ladybug
230	1.5	1	luna
242	1.5	1	lemur
248	1.5	1	warbler
254	1.5	0	yes
260	1.5	1	warbler
266	1.5	1	luna
272	1.5	1	ladybug
284	1.5	1	mallard
290	1.5	1	lemur
296	1.5	1	monkey
302	1.5	0	nos
