onset	duration	event_type	stim_id
20	1.5	1	mallard
26	1.5	1	monkey
38	1.5	1	ladybug
44	1.5	1	lemur
50	1.5	1	luna
56	1.5	1	warbler
62	1.5	0	nos
68	1.5	1	warbler
74	1.5	1	monkey
86	1.5	1	luna
92	1.5	1	lemur
98	1.5	1	mallard
104	1.5	1	ladybug
110	1.5	0	nos
116	1.5	1	ladybug
122	1.5	1	mallard
128	1.5	1	luna
140	1.5	1	monkey
146	1.5	1	warbler
152	1.5	1	lemur
158	1.5	0	yes
164	1.5	1	lemur
170	1.5	1	ladybug
176	1.5	1	monkey
182	1.5	1	mallard
194	1.5	1	warbler
200	1.5	1	luna
206	1.5	0	yes
212	1.5	1	luna
224	1.5	1	ladybug
230	1.5	1	warbler
236	1.5	1	mallard
242	1.5	1	lemur
248	1.5	1	monkey
254	1.5	0	nos
260	1.5	1	monkey
266	1.5	1	lemur
272	1.5	1	warbler
284	1.5	1	ladybug
290	1.5	1	luna
296	1.5	1	mallard
302	1.5	0	yes
