onset	duration	event_type	stim_id
20	1.5	1	warbler
26	1.5	1	ladybug
38	1.5	1	lemur
44	1.5	1	mallard
50	1.5	1	monkey
56	1.5	1	luna
62	1.5	0	yes
68	1.5	1	luna
74	1.5	1	ladybug
86	1.5	1	warbler
92	1.5	1	monkey
98	1.5	1	mallard
104	1.5	1	lemur
110	1.5	0	nos
116	1.5	1	lemur
122	1.5	1	warbler
128	1.5	1	mallard
134	1.5	1	ladybug
146	1.5	1	luna
152	1.5	1	monkey
158	1.5	0	nos
164	1.5	1	monkey
170	1.5	1	warbler
176	1.5	1	luna
188	1.5	1	lemur
194	1.5	1	ladybug
200	1.5	1	mallard
206	1.5	0	nos
212	1.5	1	mallard
218	1.5	1	luna
224	1.5	1	warbler
236	1.5	1	lemur
242	1.5	1	monkey
248	1.5	1	ladybug
254	1.5	0	yes
260	1.5	1	ladybug
272	1.5	1	monkey
278	1.5	1	lemur
284	1.5	1	luna
290	1.5	1	mallard
296	1.5	1	warbler
302	1.5	0	yes
