onset	duration	event_type	stim_id
20	1.5	1	ladybug
26	1.5	1	luna
32	1.5	1	monkey
44	1.5	1	warbler
50	1.5	1	mallard
56	1.5	1	lemur
62	1.5	0	nos
68	1.5	1	lemur
80	1.5	1	monkey
86	1.5	1	ladybug
92	1.5	1	mallard
98	1.5	1	luna
104	1.5	1	warbler
110	1.5	0	yes
116	1.5	1	warbler
122	1.5	1	monkey
128	1.5	1	luna
140	1.5	1	ladybug
146	1.5	1	lemur
152	1.5	1	mallard
158	1.5	0	nos
164	1.5	1	mallard
170	1.5	1	warbler
182	1.5	1	luna
188	1.5	1	lemur
194	1.5	1	ladybug
200	1.5	1	monkey
206	1.5	0	yes
212	1.5	1	monkey
218	1.5	1	mallard
224	1.5	1	ladybug
230	1.5	1	warbler
242	1.5	1	lemur
248	1.5	1	luna
254	1.5	0	nos
260	1.5	1	luna
266	1.5	1	mallard
278	1.5	1	monkey
284	1.5	1	lemur
290	1.5	1	warbler
296	1.5	1	ladybug
302	1.5	0	yes
