onset	duration	event_type	stim_id
20	1.5	1	monkey
32	1.5	1	mallard
38	1.5	1	lemur
44	1.5	1	ladybug
50	1.5	1	luna
56	1.5	1	warbler
62	1.5	0	yes
68	1.5	1	warbler
74	1.5	1	luna
80	1.5	1	mallard
92	1.5	1	monkey
98	1.5	1	ladybug
104	1.5	1	lemur
110	1.5	0	nos
116	1.5	1	lemur
122	1.5	1	monkey
128	1.5	1	luna
134	1.5	1	ladybug
146	1.5	1	warbler
152	1.5	1	mallard
158	1.5	0	nos
164	1.5	1	mallard
170	1.5	1	ladybug
182	1.5	1	monkey
188	1.5	1	warbler
194	1.5	1	lemur
200	1.5	1	luna
206	1.5	0	yes
212	1.5	1	luna
218	1.5	1	monkey
224	1.5	1	lemur
236	1.5	1	mallard
242	1.5	1	warbler
248	1.5	1	ladybug
254	1.5	0	yes
260	1.5	1	ladybug
266	1.5	1	mallard
278	1.5	1	luna
284	1.5	1	lemur
290	1.5	1	warbler
296	1.5	1	monkey
302	1.5	0	nos
