onset	duration	event_type	stim_id
20	1.5	1	ladybug
26	1.5	1	mallard
32	1.5	1	luna
44	1.5	1	monkey
50	1.5	1	warbler
56	1.5	1	lemur
62	1.5	0	nos
68	1.5	1	lemur
74	1.5	1	warbler
86	1.5	1	luna
92	1.5	1	mallard
98	1.5	1	ladybug
104	1.5	1	monkey
110	1.5	0	yes
116	1.5	1	monkey
128	1.5	1	mallard
134	1.5	1	lemur
140	1.5	1	ladybug
146	1.5	1	luna
152	1.5	1	warbler
158	1.5	0	yes
164	1.5	1	warbler
170	1.5	1	ladybug
176	1.5	1	lemur
188	1.5	1	mallard
194	1.5	1	monkey
200	1.5	1	luna
206	1.5	0	yes
212	1.5	1	luna
218	1.5	1	lemur
224	1.5	1	monkey
230	1.5	1	ladybug
242	1.5	1	warbler
248	1.5	1	mallard
254	1.5	0	nos
260	1.5	1	mallard
266	1.5	1	warbler
278	1.5	1	monkey
284	1.5	1	lemur
290	1.5	1	luna
296	1.5	1	ladybug
302	1.5	0	nos
