onset	duration	event_type	stim_id
20	1.5	1	warbler
32	1.5	1	luna
38	1.5	1	mallard
44	1.5	1	monkey
50	1.5	1	ladybug
56	1.5	1	lemur
62	1.5	0	yes
68	1.5	1	lemur
74	1.5	1	warbler
86	1.5	1	monkey
92	1.5	1	luna
98	1.5	1	ladybug
104	1.5	1	mallard
110	1.5	0	nos
116	1.5	1	mallard
122	1.5	1	ladybug
128	1.5	1	warbler
140	1.5	1	lemur
146	1.5	1	luna
152	1.5	1	monkey
158	1.5	0	yes
164	1.5	1	monkey
170	1.5	1	warbler
182	1.5	1	mallard
188	1.5	1	lemur
194	1.5	1	ladybug
200	1.5	1	luna
206	1.5	0	yes
212	1.5	1	luna
218	1.5	1	lemur
224	1.5	1	monkey
230	1.5	1	mallard
242	1.5	1	warbler
248	1.5	1	ladybug
254	1.5	0	nos
260	1.5	1	ladybug
266	1.5	1	monkey
272	1.5	1	lemur
284	1.5	1	mallard
290	1.5	1	luna
296	1.5	1	warbler
302	1.5	0	nos
