onset	duration	event_type	stim_id
20	1.5	1	monkey
26	1.5	1	luna
32	1.5	1	mallard
38	1.5	1	lemur
50	1.5	1	ladybug
56	1.5	1	warbler
62	1.5	0	yes
68	1.5	1	warbler
74	1.5	1	lemur
86	1.5	1	luna
92	1.5	1	monkey
98	1.5	1	mallard
104	1.5	1	ladybug
110	1.5	0	yes
116	1.5	1	ladybug
122	1.5	1	luna
128	1.5	1	lemur
140	1.5	1	monkey
146	1.5	1	warbler
152	1.5	1	mallard
158	1.5	0	yes
164	1.5	1	mallard
170	1.5	1	monkey
176	1.5	1	ladybug
188	1.5	1	lemur
194	1.5	1	warbler
200	1.5	1	luna
206	1.5	0	nos
212	1.5	1	luna
224	1.5	1	ladybug
230	1.5	1	mallard
236	1.5	1	warbler
242	1.5	1	monkey
248	1.5	1	lemur
254	1.5	0	nos
260	1.5	1	lemur
266	1.5	1	mallard
278	1.5	1	luna
284	1.5	1	warbler
290	1.5	1	ladybug
296	1.5	1	monkey
302	1.5	0	nos
